id,category,displayName,confidence,aliases
101010002,weapon,"M4A1 Assault Rifle",high,""
101010003,weapon,"FAL Assault Rifle",high,""
101010004,weapon,"H416 Assault Rifle",high,""
101010010,weapon,"AUG Assault Rifle",high,"AUG"
101010014,weapon,"AEK Assault Rifle",high,""
101010017,weapon,"FAMAS Assault Rifle",high,""
101010018,weapon,"SCAR-L Assault Rifle",high,"SCAR-L"
101010023,weapon,"AK12",high,""
101010024,weapon,"MCX Assault Rifle",high,""
101010027,weapon,"T191 Assault Rifle",high,"T191"
101020001,weapon,"MP5 Micro SMG",high,""
101020003,weapon,"P90 Micro SMG",high,"P90"
101020014,weapon,"Vector 9 Micro SMG",high,""
101030006,weapon,"T88",high,""
101030007,weapon,"U191 Marksman Rifle",high,""
102010002,weapon,"M9A3 Pistol",high,""
104010001,throwable,"M67",high,""
104030001,throwable,"Stun Gren.",high,""
104050001,throwable,"Molotov",high,""
201010008,attachment,"Vertical FG",medium,""
201010010,attachment,"RK-0 FG",high,""
201010011,attachment,"Compact FG",high,""
201020033,attachment,"SCAR-L Grip",medium,""
201020040,attachment,"AK-12 Std. RG",medium,""
201020044,attachment,"T19X Std. RG",high,""
201030103,attachment,"SRDS",high,""
201030104,attachment,"PK Reflex",medium,""
201030108,attachment,"553",medium,""
201030119,attachment,"M1 Red Dot",high,""
201030203,attachment,"Mosin3.5",medium,""
201030602,attachment,"Mosin Std. RS",medium,""
201030615,attachment,"Mosin",medium,""
201030660,attachment,"SCAR-L Front Sight",medium,""
201030666,attachment,"AK-12 RS",medium,""
201030673,attachment,"T88 Front Sight",medium,""
201030674,attachment,"T88 Fold RS",medium,""
201030677,attachment,"T19X Sight",high,""
201040156,attachment,"Mosin Std.",medium,""
201040198,attachment,"SCAR-L Std.",medium,""
201040421,attachment,"T19X Cheek Rest",high,""
201040523,attachment,"AK-12 Tac.Stock",medium,""
201040540,attachment,"T88 Std. Stock",medium,""
201040547,attachment,"T19X Std. Stk.",high,""
201060101,attachment,"Mosin",medium,""
201060102,attachment,"3.5x",medium,""
201060106,attachment,"30mm",medium,""
201060327,attachment,"AUG",high,""
201060345,attachment,"SCAR-L Bottom Rail",medium,""
201070141,attachment,"AK-12 Sup.",medium,""
201070145,attachment,"T88 Sup.",medium,""
201070202,attachment,"AR-15 F.",high,""
201080101,attachment,"AK-12 Std. HG",medium,""
201080126,attachment,"T191 Std. HG",high,""
201100046,attachment,"SCAR-L UR",medium,""
201100052,attachment,"AK-12 Cover",medium,""
201100058,attachment,"T88 Std.Up.",medium,""
201100062,attachment,"T191 Std.Up.",high,""
201110008,attachment,"Mosin L.",medium,""
201110071,attachment,"SCAR-L M.",medium,""
201110094,attachment,"T191 Barrel",high,""
201120002,attachment,"X300U-A",high,""
201150012,attachment,"SCAR-L Std.Hdl.",medium,""
202030004,ammo,"5.56x45 M995",high,""
202080006,ammo,"5.7×28 SS198",high,""
202170001,ammo,"5.8×42 DVC12",high,""
301010107,equipment,"926 Hunter Vest",high,""
301010108,equipment,"B4 Tactical Chest Rig",high,""
301010109,equipment,"926",high,""
301010112,equipment,"FA Multi.",high,""
301010119,equipment,"L.Vest",high,""
301010203,equipment,"Warrior",high,""
301010207,equipment,"TM2",high,""
301010213,equipment,"M4",high,""
301010222,equipment,"AL Assault Armored Rig",high,""
301020004,equipment,"M.Camp",high,""
301020005,equipment,"Travel",high,""
301020006,equipment,"XA4 Tac.",high,""
301020007,equipment,"926",high,""
301020008,equipment,"Field",high,""
301020011,equipment,"Sports Backpack",high,""
301020013,equipment,"Chapman Mil.",high,""
301020014,equipment,"Med Field",high,""
301020015,equipment,"AMP Assault",high,""
301020016,equipment,"RUSH Tac.",high,""
301020019,equipment,"L.Camping",high,""
301020020,equipment,"R.Marching",high,""
301030005,equipment,"Z038",high,""
301030006,equipment,"GS2",high,""
301030007,equipment,"Commander",high,""
301040005,equipment,"6BNT",high,""
301040010,equipment,"FA Assault",high,""
301040012,equipment,"IND Tac.",high,""
301040018,equipment,"KSS Tac.",high,""
301040024,equipment,"KSS2 Tac.",high,""
301040026,equipment,"03 H.",high,""
301040028,equipment,"SH50",high,""
301040029,equipment,"SH M2",high,""
301040032,equipment,"SH65",high,""
301040034,equipment,"RST Sp.",high,""
301040035,equipment,"IND70 Tac.",high,""
301050001,equipment,"DK6",medium,""
301050006,equipment,"6BNT",high,""
301050010,equipment,"SH Univ.",high,""
301050011,equipment,"SH65B",high,""
301050014,equipment,"DK8 Mil.",high,""
301060013,equipment,"6B23",high,""
301150203,equipment,"SH3",high,""
401010007,medical,"LP",high,""
401030202,medical,"Std.Kit",high,""
401040008,medical,"926",high,""
401040009,medical,"100D",high,""
404010006,provision,"Taurine",high,""
491050006,treatment,"Treatment",high,""
